Fecha;Mes;Fecha de busqueda;Precio;Moneda;Es directo;Aerolinea;Origen;Destino;Ciudad origen;País origen;Ciudad de destino;Dia;;
06/08/2021;8;13/05/2021;66;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;6;;
06/08/2021;8;13/05/2021;130;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;6;;
07/08/2021;8;13/05/2021;54;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;7;;
08/08/2021;8;13/05/2021;55;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;8;;
09/08/2021;8;13/05/2021;36;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;9;;
11/08/2021;8;13/05/2021;34;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;11;;
14/08/2021;8;13/05/2021;58;€;False;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;14;;
14/08/2021;8;13/05/2021;66;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;14;;
16/08/2021;8;13/05/2021;36;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;16;;
18/08/2021;8;13/05/2021;29;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;18;;
20/08/2021;8;13/05/2021;58;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;20;;
20/08/2021;8;13/05/2021;78;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;20;;
21/08/2021;8;13/05/2021;45;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;21;;
22/08/2021;8;13/05/2021;36;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;22;;
25/08/2021;8;13/05/2021;28;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;25;;
26/08/2021;8;13/05/2021;73;€;True;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;26;;
27/08/2021;8;13/05/2021;57;€;False;Lufthansa;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;27;;
27/08/2021;8;13/05/2021;88;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;27;;
28/08/2021;8;13/05/2021;46;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;28;;
30/08/2021;8;13/05/2021;38;€;True;Ryanair;FRA;VLC;Fráncfort del Meno;Alemania;Valencia;30;;
01/06/2021;6;13/05/2021;78;€;False;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;1;;
02/06/2021;6;13/05/2021;83;€;False;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;2;;
03/06/2021;6;13/05/2021;88;€;False;TAP Air Portugal;DUS;VLC;Düsseldorf;Alemania;Valencia;3;;
03/06/2021;6;13/05/2021;120;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;3;;
04/06/2021;6;13/05/2021;68;€;False;Vueling Airlines;DUS;VLC;Düsseldorf;Alemania;Valencia;4;;
05/06/2021;6;13/05/2021;68;€;False;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;5;;
06/06/2021;6;13/05/2021;44;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;6;;
07/06/2021;6;13/05/2021;83;€;False;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;7;;
07/06/2021;6;13/05/2021;140;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;7;;
08/06/2021;6;13/05/2021;56;€;False;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;8;;
09/06/2021;6;13/05/2021;73;€;False;Vueling Airlines;DUS;VLC;Düsseldorf;Alemania;Valencia;9;;
10/06/2021;6;13/05/2021;44;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;10;;
11/06/2021;6;13/05/2021;71;€;False;TUIfly;DUS;VLC;Düsseldorf;Alemania;Valencia;11;;
12/06/2021;6;13/05/2021;97;€;False;KLM;DUS;VLC;Düsseldorf;Alemania;Valencia;12;;
13/06/2021;6;13/05/2021;44;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;13;;
14/06/2021;6;13/05/2021;76;€;False;TUIfly;DUS;VLC;Düsseldorf;Alemania;Valencia;14;;
14/06/2021;6;13/05/2021;104;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;14;;
16/06/2021;6;13/05/2021;74;€;False;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;16;;
17/06/2021;6;13/05/2021;44;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;17;;
18/06/2021;6;13/05/2021;70;€;False;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;18;;
19/06/2021;6;13/05/2021;80;€;False;Vueling Airlines;DUS;VLC;Düsseldorf;Alemania;Valencia;19;;
20/06/2021;6;13/05/2021;44;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;20;;
21/06/2021;6;13/05/2021;79;€;False;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;21;;
21/06/2021;6;13/05/2021;95;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;21;;
23/06/2021;6;13/05/2021;100;€;False;TUIfly;DUS;VLC;Düsseldorf;Alemania;Valencia;23;;
24/06/2021;6;13/05/2021;44;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;24;;
25/06/2021;6;13/05/2021;76;€;False;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;25;;
26/06/2021;6;13/05/2021;116;€;False;KLM;DUS;VLC;Düsseldorf;Alemania;Valencia;26;;
27/06/2021;6;13/05/2021;72;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;27;;
28/06/2021;6;13/05/2021;104;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;28;;
30/06/2021;6;13/05/2021;97;€;False;KLM;DUS;VLC;Düsseldorf;Alemania;Valencia;30;;
01/07/2021;7;13/05/2021;44;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;1;;
02/07/2021;7;13/05/2021;90;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;2;;
04/07/2021;7;13/05/2021;104;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;4;;
05/07/2021;7;13/05/2021;94;€;False;KLM;DUS;VLC;Düsseldorf;Alemania;Valencia;5;;
05/07/2021;7;13/05/2021;104;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;5;;
06/07/2021;7;13/05/2021;94;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;6;;
07/07/2021;7;13/05/2021;94;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;7;;
08/07/2021;7;13/05/2021;65;€;False;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;8;;
08/07/2021;7;13/05/2021;84;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;8;;
09/07/2021;7;13/05/2021;82;€;False;Alitalia;DUS;VLC;Düsseldorf;Alemania;Valencia;9;;
09/07/2021;7;13/05/2021;94;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;9;;
11/07/2021;7;13/05/2021;95;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;11;;
12/07/2021;7;13/05/2021;66;€;False;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;12;;
12/07/2021;7;13/05/2021;105;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;12;;
13/07/2021;7;13/05/2021;45;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;13;;
14/07/2021;7;13/05/2021;45;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;14;;
15/07/2021;7;13/05/2021;54;€;False;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;15;;
15/07/2021;7;13/05/2021;99;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;15;;
16/07/2021;7;13/05/2021;105;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;16;;
17/07/2021;7;13/05/2021;72;€;False;Alitalia;DUS;VLC;Düsseldorf;Alemania;Valencia;17;;
18/07/2021;7;13/05/2021;85;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;18;;
19/07/2021;7;13/05/2021;70;€;False;Alitalia;DUS;VLC;Düsseldorf;Alemania;Valencia;19;;
19/07/2021;7;13/05/2021;95;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;19;;
20/07/2021;7;13/05/2021;75;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;20;;
21/07/2021;7;13/05/2021;45;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;21;;
22/07/2021;7;13/05/2021;45;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;22;;
23/07/2021;7;13/05/2021;85;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;23;;
24/07/2021;7;13/05/2021;116;€;False;KLM;DUS;VLC;Düsseldorf;Alemania;Valencia;24;;
25/07/2021;7;13/05/2021;66;€;False;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;25;;
25/07/2021;7;13/05/2021;90;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;25;;
26/07/2021;7;13/05/2021;67;€;False;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;26;;
26/07/2021;7;13/05/2021;90;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;26;;
27/07/2021;7;13/05/2021;85;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;27;;
28/07/2021;7;13/05/2021;45;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;28;;
29/07/2021;7;13/05/2021;45;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;29;;
30/07/2021;7;13/05/2021;82;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;30;;
01/08/2021;8;13/05/2021;49;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;1;;
02/08/2021;8;13/05/2021;59;€;False;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;2;;
02/08/2021;8;13/05/2021;95;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;2;;
03/08/2021;8;13/05/2021;75;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;3;;
04/08/2021;8;13/05/2021;45;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;4;;
05/08/2021;8;13/05/2021;45;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;5;;
06/08/2021;8;13/05/2021;85;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;6;;
08/08/2021;8;13/05/2021;45;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;8;;
09/08/2021;8;13/05/2021;45;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;9;;
10/08/2021;8;13/05/2021;45;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;10;;
11/08/2021;8;13/05/2021;45;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;11;;
12/08/2021;8;13/05/2021;45;€;True;eurowings;DUS;VLC;Düsseldorf;Alemania;Valencia;12;;
